doc_id,nppes_provider_city,nppes_provider_state,number_of_hcpcs,total_services,total_medicare_allowed_amt,number_of_drug_hcpcs,total_drug_services,total_drug_medicare_allowed_amt,number_of_med_hcpcs,total_med_services,total_med_medicare_allowed_amt,beneficiary_average_risk_score
QW5407964,HOUSTON,TX,8,20,1989.23,0,0,0,8,20,1989.23,3.0249
ZG9151578,ROCHDALE,NY,16,612,64514.02,0,0,0,16,612,64514.02,2.1704
QM2773742,BENSALEM,PA,5,586,37417.01,0,0,0,5,586,37417.01,1.1443
IF6754883,WEST BLOOMFIELD,MI,13,575,88769.79,0,0,0,13,575,88769.79,1.2966
CY6248028,PROVIDENCE,RI,12,475,31179.11,0,0,0,12,475,31179.11,1.829
RD6271518,ROCHESTER,MN,22,661,63620.56,0,0,0,22,661,63620.56,1.0837
NC3786190,LAS VEGAS,NV,44,5308,454252.37,NA,NA,NA,NA,NA,NA,1.8854
UW6107965,MADISON,WI,24,290,30382.94,0,0,0,24,290,30382.94,1.6506
HD8148078,CHARLOTTESVILLE,VA,15,414,47568.18,0,0,0,15,414,47568.18,1.4729
XP2656450,MYRTLE BEACH,SC,82,13648,337114.46,4,10628,39138.39,78,3020,297976.07,1.2965
PA3721668,BOSTON,MA,22,407,37320.51,0,0,0,22,407,37320.51,1.7723
TY8337156,EAU CLAIRE,WI,17,933,64489.56,NA,NA,NA,NA,NA,NA,1.3559
QY6374238,COLUMBUS,OH,25,1843,82648.39,NA,NA,NA,NA,NA,NA,1.671
VX1201613,MINNEAPOLIS,MN,18,145,15807.37,NA,NA,NA,NA,NA,NA,1.4379
OS4800826,METAIRIE,LA,28,1146,107329.23,0,0,0,28,1146,107329.23,1.8801
FU5642019,CASA GRANDE,AZ,31,3646,428835.98,0,0,0,31,3646,428835.98,1.5045
GQ5615251,PLANTATION,FL,17,679,85036.39,0,0,0,17,679,85036.39,1.5326
FG7040279,LODI,CA,18,2070,246761.72,3,161,594.09,15,1909,246167.63,1.2843
AL2029495,WASHINGTON,DC,4,203,26729.47,0,0,0,4,203,26729.47,0.9096
SI1948489,AKRON,OH,7,79,8100.69,0,0,0,7,79,8100.69,0.8453
NQ4336340,REGO PARK,NY,27,2777,123890.7,NA,NA,NA,NA,NA,NA,1.9558
PV8794316,LA JOLLA,CA,3,327,48998.53,0,0,0,3,327,48998.53,1.1801
HV8042552,BOSTON,MA,18,421,51314.34,0,0,0,18,421,51314.34,1.6324
QF4396073,BOSTON,MA,6,103,15581.94,0,0,0,6,103,15581.94,1.1097
HN6196044,PARKER,CO,50,17678,224039.72,2,16100,88217.18,48,1578,135822.54,1.2385
ON2279841,HOUSTON,TX,56,13016,361140.25,7,11724,192858.62,49,1292,168281.63,1.2214
WU2816214,WASHINGTON,DC,19,531,69368.44,NA,NA,NA,NA,NA,NA,1.4812
DR6132317,CHARLESTON,SC,22,858,77590.68,5,210,1170.24,17,648,76420.44,1.333
PD8178043,CLEMSON,SC,46,11079,233626.15,6,9225,61502.7,40,1854,172123.45,1.2864
RE7824038,SALT LAKE CITY,UT,14,28125,414486.7,3,27965,401000.48,11,160,13486.22,1.0171
SD2186519,PURCHASE,NY,14,745,113838.14,0,0,0,14,745,113838.14,1.3713
AM0592907,UPLAND,PA,18,557,57018.97,0,0,0,18,557,57018.97,1.5998
GG6109997,SHERMAN,TX,16,1652,34105.33,NA,NA,NA,NA,NA,NA,1.3114
GD6610042,PHOENIX,AZ,20,7422,149097.51,3,6374,32061.2,17,1048,117036.31,1.1463
JU4539941,AURORA,IL,68,1599,121121.88,NA,NA,NA,NA,NA,NA,1.2938
AY4514926,IRVING,TX,18,350,45649.95,0,0,0,18,350,45649.95,2.4695
WQ3831205,ALBUQUERQUE,NM,5,41,4670.12,0,0,0,5,41,4670.12,1.0148
AX2764435,ALLENTOWN,PA,21,873,82718.54,0,0,0,21,873,82718.54,1.4452
BC0807583,PALOS HEIGHTS,IL,23,1752,219833.25,0,0,0,23,1752,219833.25,2.3513
MJ2519499,COLUMBIA,SC,18,189,21276.23,0,0,0,18,189,21276.23,2.0121
BY9784409,WHEAT RIDGE,CO,10,148,17014.28,0,0,0,10,148,17014.28,0.9487
MI9960721,DALLAS,TX,34,8977,90277.41,4,8527,46017.4,30,450,44260.01,1.6549
QR3064129,CANANDAIGUA,NY,23,4904,79778.09,NA,NA,NA,NA,NA,NA,1.3127
RU4589649,FARGO,ND,41,516,41024.07,0,0,0,41,516,41024.07,1.2288
QR7035135,WOONSOCKET,RI,24,2399,103780.66,NA,NA,NA,NA,NA,NA,1.7479
JK4332808,PINEHURST,NC,24,758,76817.08,0,0,0,24,758,76817.08,2.0005
GJ3123375,SAN FRANCISCO,CA,18,207,19630.58,0,0,0,18,207,19630.58,1.4907
TK3885908,ASTORIA,NY,29,503,74662.56,NA,NA,NA,NA,NA,NA,1.4834
MZ2119592,MOREHEAD CITY,NC,25,1025,128590.75,0,0,0,25,1025,128590.75,1.3497
XD8598415,DULUTH,MN,27,367,23287.56,0,0,0,27,367,23287.56,1.5816
MJ6223683,MOUNT KISCO,NY,73,18757,588504.85,12,16744,402265.29,61,2013,186239.56,1.1314
KJ5276408,CINCINNATI,OH,23,361,36702.15,0,0,0,23,361,36702.15,1.6844
FR9547156,MOUNT KISCO,NY,85,12266,438732.6,14,10502,265825.89,71,1764,172906.71,1.135
QR6504105,BOCA RATON,FL,24,15085,227316.78,4,13900,80468.38,20,1185,146848.4,1.886
RL1211976,MEADOWBROOK,PA,15,375,38018.19,0,0,0,15,375,38018.19,1.6969
VM3445883,BELFAST,ME,7,40,3205.09,0,0,0,7,40,3205.09,1.5406
ZT4701888,SYRACUSE,NY,34,541,46853.72,0,0,0,34,541,46853.72,1.7031
JG2021897,RIO PIEDRAS,PR,15,279,7620.19,NA,NA,NA,NA,NA,NA,1.6043
MC8476451,CHARLOTTE,NC,19,830,118199.14,NA,NA,NA,NA,NA,NA,1.4828
PC5730625,PHILADELPHIA,PA,23,447,40771.04,0,0,0,23,447,40771.04,2.0474
LA0146099,HATTIESBURG,MS,9,861,77947.28,0,0,0,9,861,77947.28,1.134
ZR4322803,SAN JOSE,CA,21,2744,602688.84,0,0,0,21,2744,602688.84,1.4539
JS3185064,ENGLEWOOD,NJ,21,1806,367323.94,0,0,0,21,1806,367323.94,1.6261
MB3635694,IRVING,TX,29,1369,296444.96,0,0,0,29,1369,296444.96,1.129
XZ2453113,BAY SHORE,NY,83,41837,1013281.31,10,39823,768881.47,73,2014,244399.84,1.6799
YT1514824,DALLAS,TX,75,41838,757146.65,10,39862,513071.92,65,1976,244074.73,1.3387
CQ9589933,STATESVILLE,NC,11,107,13371.17,0,0,0,11,107,13371.17,1.5556
CQ2839596,PRINCE GEORGE,VA,27,2296,268289.84,NA,NA,NA,NA,NA,NA,1.723
ZI1608872,SAN JOSE,CA,10,119,10850.58,0,0,0,10,119,10850.58,1.2443
UO2956038,CHERRY HILL,NJ,14,743,95167.8,0,0,0,14,743,95167.8,1.4311
FX3732532,KNOXVILLE,TN,10,575,51360.51,0,0,0,10,575,51360.51,1.4517
BY6915508,RICHMOND,VA,31,1082,104755.15,NA,NA,NA,NA,NA,NA,1.5412
AJ7899063,WARREN,MI,35,4180,245821.3,NA,NA,NA,NA,NA,NA,2.1869
SK3864044,SCOTTSDALE,AZ,27,28161,205082.3,4,27725,143530.78,23,436,61551.52,1.201
