doc_id,nppes_provider_city,nppes_provider_state,number_of_hcpcs,total_services,total_medicare_allowed_amt,number_of_drug_hcpcs,total_drug_services,total_drug_medicare_allowed_amt,number_of_med_hcpcs,total_med_services,total_med_medicare_allowed_amt,beneficiary_average_risk_score
UZ8257402,MURRAY,KY,37,3042,120950.66,2,1843,10014.22,35,1199,110936.44,1.3397
LO4996458,LOUISVILLE,KY,27,1001,92303.39,0,0,0,27,1001,92303.39,2.2198
HH7109849,KANSAS CITY,MO,33,7354,164818.7,1,5700,31432.8,32,1654,133385.9,1.9998
PF5464369,ANNAPOLIS,MD,25,1160,139791.58,NA,NA,NA,NA,NA,NA,1.8895
AV5664228,BOSTON,MA,7,214,32778.42,0,0,0,7,214,32778.42,1.9707
WR9012792,DANVILLE,KY,21,931,102043.15,0,0,0,21,931,102043.15,1.4054
AY0647084,KENOSHA,WI,42,3972,176173.61,8,2447,519.99,34,1525,175653.62,1.5611
CN9013470,JACKSON,TN,66,9730,242763.94,5,7431,40863.94,61,2299,201900,1.4635
LS9535656,ROCHESTER HILLS,MI,37,1314,159710.69,5,88,192.2,32,1226,159518.49,1.9323
EA0150251,MIAMI,FL,10,232,43870.94,0,0,0,10,232,43870.94,1.6815
GB8875613,CHICAGO,IL,30,761,45200.92,0,0,0,30,761,45200.92,1.3306
IL4235430,HOUSTON,TX,21,505,62680.69,0,0,0,21,505,62680.69,2.0736
EM7405327,ATLANTIS,FL,28,2513,256435.7,0,0,0,28,2513,256435.7,2.031
IY1976553,NEW BRITAIN,CT,15,709,94765.26,0,0,0,15,709,94765.26,2.2102
LF8586378,BALTIMORE,MD,28,961,97278.12,0,0,0,28,961,97278.12,2.0512
TP4103068,NORFOLK,VA,25,358,46960.68,0,0,0,25,358,46960.68,1.2215
IG6544766,LITTLE ROCK,AR,24,770,73450.94,0,0,0,24,770,73450.94,1.6136
CR2343295,KNOXVILLE,TN,44,5904,168988.37,7,4284,35588.46,37,1620,133399.91,1.5035
PH5602135,MILWAUKEE,WI,16,518,100504.33,0,0,0,16,518,100504.33,1.9189
RI6639510,CLEVELAND,OH,16,233,23629.94,0,0,0,16,233,23629.94,1.8677
SM7712557,VALDOSTA,GA,57,60063,1414902,17,28839,86112.27,40,31224,1328789.73,1.9876
QC6695334,JACKSON,MS,24,470,59988.73,0,0,0,24,470,59988.73,1.484
ZM1051123,WINFIELD,IL,27,2271,195626.1,5,935,5020.79,22,1336,190605.31,1.6169
NH5646830,ROCHESTER,MN,24,74,8305.89,0,0,0,24,74,8305.89,1.7585
EH3229479,TUCSON,AZ,38,764,84911.74,NA,NA,NA,NA,NA,NA,1.4061
WP4198883,PHILADELPHIA,PA,20,389,62865.2,0,0,0,20,389,62865.2,1.9365
CU7274991,SAN ANTONIO,TX,12,215,21386.37,0,0,0,12,215,21386.37,3.2477
NZ0233706,SCHENECTADY,NY,23,232,22955.5,0,0,0,23,232,22955.5,1.4955
NW3210510,ROCHESTER,MN,7,26,3270.11,0,0,0,7,26,3270.11,1.4099
GQ3723848,ARLINGTON,TX,19,2120,182016.71,0,0,0,19,2120,182016.71,2.5529
MO7564008,NIAGARA FALLS,NY,33,1540,106163.11,NA,NA,NA,NA,NA,NA,1.6572
VV9352982,WICHITA,KS,33,2996,175456.27,NA,NA,NA,NA,NA,NA,1.3195
HI1190547,KANSAS CITY,MO,29,744,72972.14,0,0,0,29,744,72972.14,1.7354
WM7542816,LAS VEGAS,NV,27,2419,186341.6,0,0,0,27,2419,186341.6,1.3915
TV2996075,HARTFORD,CT,17,484,38401.97,0,0,0,17,484,38401.97,1.3997
WW2026508,HARTFORD,CT,13,191,18054.71,0,0,0,13,191,18054.71,1.7857
MJ9888738,CHANDLER,AZ,30,1088,78911.39,5,528,2827.22,25,560,76084.17,1.3912
OH1609563,DENVER,CO,2,39,3841.75,0,0,0,2,39,3841.75,1.0884
ML5514410,MILWAUKEE,WI,29,2131,44293.17,NA,NA,NA,NA,NA,NA,2.0176
LC4612829,NEW ORLEANS,LA,11,412,48531.47,0,0,0,11,412,48531.47,2.0839
YV6649352,WYNNEWOOD,PA,20,1259,174045.1,0,0,0,20,1259,174045.1,1.5975
JR9094997,ANNAPOLIS,MD,51,21336,505381.97,10,19727,305737.38,41,1609,199644.59,1.0649
BZ7768674,BRIGHTON,MA,14,492,18187.2,NA,NA,NA,NA,NA,NA,1.4645
FC1655983,LACONIA,NH,42,1365,142625.47,0,0,0,42,1365,142625.47,1.2842
KC5885028,LAS VEGAS,NV,23,19269,918469.82,NA,NA,NA,NA,NA,NA,1.2775
HS9937265,PALO ALTO,CA,8,2424,49940.95,NA,NA,NA,NA,NA,NA,1.4567
RA3749589,FORT THOMAS,KY,13,662,44799.7,0,0,0,13,662,44799.7,1.3186
VI7321910,LOMA LINDA,CA,45,740,75907.2,0,0,0,45,740,75907.2,1.7576
HW8076012,CLEVELAND,OH,22,917,73965.09,0,0,0,22,917,73965.09,1.8004
HA4282872,PHILADELPHIA,PA,26,630,65899.34,0,0,0,26,630,65899.34,1.6319
BN6663258,BALTIMORE,MD,16,558,72491.01,NA,NA,NA,NA,NA,NA,1.2382
YA7079043,PISMO BEACH,CA,20,1018,140406.93,NA,NA,NA,NA,NA,NA,1.3304
DC9360961,SUWANEE,GA,55,2125,261147.13,0,0,0,55,2125,261147.13,1.4155
VL7383797,GREENBRAE,CA,19,359,53844.06,NA,NA,NA,NA,NA,NA,1.3138
YW1081572,PHILADELPHIA,PA,24,662,55423.8,0,0,0,24,662,55423.8,1.9355
JY5034128,ROCHESTER,NY,6,50,8800.33,0,0,0,6,50,8800.33,0.9923
JW6366217,SHEFFIELD,AL,29,1117,133782.25,0,0,0,29,1117,133782.25,1.5815
TC5349298,BURNSVILLE,MN,41,3506,86077.71,NA,NA,NA,NA,NA,NA,1.2988
BR7838078,SPRINGFIELD,TN,37,3988,118219.11,7,2947,15950.62,30,1041,102268.49,1.4497
MP5165678,CONCORD,MA,5,489,77627.81,0,0,0,5,489,77627.81,1.4214
IL4990595,FRANKLIN,TN,15,154,21516.87,NA,NA,NA,NA,NA,NA,1.4234
IX4283468,ASHEBORO,NC,22,991,98258.88,NA,NA,NA,NA,NA,NA,1.6967
NU8174133,BEND,OR,49,3078,104566.03,NA,NA,NA,NA,NA,NA,1.0984
JK1245425,GAHANNA,OH,21,22437,336045.95,5,22072,297982.14,16,365,38063.81,1.2971
BX2605952,WEST LONG BRANCH,NJ,46,1731,218579.57,NA,NA,NA,NA,NA,NA,1.7703
GT8729533,MIAMI,FL,7,87,18915.84,0,0,0,7,87,18915.84,2.2306
DQ9393228,RAPID CITY,SD,27,568,70721.02,0,0,0,27,568,70721.02,1.2173
DN5972758,BAY SHORE,NY,61,10563,498824.27,5,7678,119197.19,56,2885,379627.08,1.3479
WB3755480,SAN RAMON,CA,21,3040,87996.65,NA,NA,NA,NA,NA,NA,1.1666
WT9290799,PEABODY,MA,28,1450,240806.71,0,0,0,28,1450,240806.71,1.6068
XG3664775,ROCHESTER,MN,10,93,11274.65,0,0,0,10,93,11274.65,1.1316
XH8443674,LITTLE ROCK,AR,63,3796,112711.39,NA,NA,NA,NA,NA,NA,1.3619
TN2827359,WILLOW GROVE,PA,22,722,82751.5,NA,NA,NA,NA,NA,NA,1.4201
ZS6276938,SHERWOOD,AR,31,34461,780568.31,6,32209,520161.35,25,2252,260406.96,1.3564
JB3786656,MANCHESTER,NH,36,837,70424.77,0,0,0,36,837,70424.77,1.4525
CU2039689,LA JOLLA,CA,26,1606,42062.63,NA,NA,NA,NA,NA,NA,1.7264
RZ2223138,CLYDE,NC,33,1104,90186.4,0,0,0,33,1104,90186.4,1.2432
TI4121353,HOUSTON,TX,68,40252,1338168.42,13,37207,992237.35,55,3045,345931.07,1.1946
PB2905743,BELOIT,WI,28,813,73356.52,0,0,0,28,813,73356.52,1.381
IF5875536,TALLAHASSEE,FL,25,1668,141508.76,2,126,89.98,23,1542,141418.78,1.4206
NG6304268,TORRANCE,CA,11,97,9868.53,0,0,0,11,97,9868.53,1.6288
RX7563027,AUSTIN,TX,20,558,73194.68,0,0,0,20,558,73194.68,1.7465
IV6830909,SEATTLE,WA,19,468,42485.73,0,0,0,19,468,42485.73,1.791
UI2909272,VANCOUVER,WA,30,332,50108.65,0,0,0,30,332,50108.65,1.3078
MG8428649,ATLANTA,GA,19,18646,177913.02,2,18071,103457.61,17,575,74455.41,1.4843
YM4518594,COLUMBUS,OH,20,177,18294.72,0,0,0,20,177,18294.72,1.8831
TZ2223899,PHOENIX,AZ,29,629,76544.28,NA,NA,NA,NA,NA,NA,1.5247
FS2811541,CINCINNATI,OH,7,2575,175587.76,0,0,0,7,2575,175587.76,1.2984
BS8740024,DU BOIS,PA,32,1291,126170.66,NA,NA,NA,NA,NA,NA,1.471
QK7125399,EAST BRUNSWICK,NJ,20,2259,207444.37,0,0,0,20,2259,207444.37,2.7323
YR0642746,ALBUQUERQUE,NM,26,462,34298.73,0,0,0,26,462,34298.73,1.4888
BY2510711,STATEN ISLAND,NY,15,272,25441.81,0,0,0,15,272,25441.81,2.1775
SS8404985,NEW ORLEANS,LA,30,926,98706.58,0,0,0,30,926,98706.58,2.0194
TX7042348,MINNEAPOLIS,MN,4,64,5810.23,0,0,0,4,64,5810.23,1.5428
VE1074141,NASHVILLE,TN,30,402,39479.29,0,0,0,30,402,39479.29,1.6638
XX1909445,BEMIDJI,MN,15,109,6467.32,0,0,0,15,109,6467.32,1.1707
ZT8095343,FULLERTON,CA,40,2140,180352.81,NA,NA,NA,NA,NA,NA,1.4537
ST6573159,PHILADELPHIA,PA,12,322,42485.36,0,0,0,12,322,42485.36,2.4936
JL5230242,CHARLOTTESVILLE,VA,8,127,18002.16,0,0,0,8,127,18002.16,1.303
TU0808768,SEATTLE,WA,19,593,74076.75,0,0,0,19,593,74076.75,1.5024
WB2239637,SEATTLE,WA,37,517,47245.51,0,0,0,37,517,47245.51,1.8536
EQ2971725,SACRAMENTO,CA,9,31,2200.22,0,0,0,9,31,2200.22,1.2647
HZ4570813,NEW YORK,NY,19,391,39952.16,0,0,0,19,391,39952.16,1.9288
ZA0949936,OAK RIDGE,TN,44,2701,120091.93,NA,NA,NA,NA,NA,NA,1.0839
RC5262117,ROCHESTER,MN,34,495,48332.45,0,0,0,34,495,48332.45,1.4195
HD2630067,NEW LONDON,CT,18,1327,192387.5,0,0,0,18,1327,192387.5,1.9587
VT2786878,DALLAS,TX,22,632,78544.74,0,0,0,22,632,78544.74,2.0775
QS7898311,FORTWORTH,TX,23,403,33190.88,0,0,0,23,403,33190.88,2.1518
AD6818736,BALTIMORE,MD,12,551,57976.17,0,0,0,12,551,57976.17,1.8491
IF5939447,CHAPEL HILL,NC,26,3820,53576.48,NA,NA,NA,NA,NA,NA,1.4425
RK8952147,CARMEL,IN,36,533,55977.6,0,0,0,36,533,55977.6,1.229
ME1933854,GRIFFIN,GA,17,1660,209077.61,0,0,0,17,1660,209077.61,1.6355
XW6806201,LAFAYETTE,CO,30,5026,132500.69,3,4153,27769.88,27,873,104730.81,1.4569
BV3610198,NEW HYDE PARK,NY,17,1138,214498.17,0,0,0,17,1138,214498.17,2.3097
FL1074635,BOYNTON BEACH,FL,35,1281,228898.85,0,0,0,35,1281,228898.85,1.8476
FP6297812,DARTMOUTH,ZZ,21,390,47726.92,0,0,0,21,390,47726.92,2.2654
MU1118819,AKRON,OH,26,1560,87900.54,NA,NA,NA,NA,NA,NA,2.2863
XD9109073,ROANOKE,VA,25,1011,112533.84,0,0,0,25,1011,112533.84,1.5108
YW6878762,NEW YORK,NY,16,372,46764.25,NA,NA,NA,NA,NA,NA,1.239
FL0755022,ANDERSON,IN,39,954,74451.75,NA,NA,NA,NA,NA,NA,1.4468
HE1332794,TAMPA,FL,13,31,3016.21,0,0,0,13,31,3016.21,1.7283
VX9059684,BELLINGHAM,WA,22,763,87007.38,0,0,0,22,763,87007.38,1.3816
YS6109119,BETHLEHEM,PA,25,433,41220.79,0,0,0,25,433,41220.79,1.7222
AK2599045,NASHVILLE,TN,15,2447,125196.35,0,0,0,15,2447,125196.35,1.1685
KM4699954,COLUMBIA,MO,30,795,61740.13,0,0,0,30,795,61740.13,1.5608
FN7833473,WILLISTON,ND,29,575,45703.27,0,0,0,29,575,45703.27,1.307
PF0531473,CITY OF INDUSTRY,CA,64,22538,1059065.74,3,16888,5929.71,61,5650,1053136.03,1.7478
BP2870357,LANSDOWNE,VA,28,703,80980.91,0,0,0,28,703,80980.91,1.3872
MM0138601,ORANGE,CA,16,223,22181.72,0,0,0,16,223,22181.72,1.7577
HL6116448,MUSKEGO,WI,5,879,810751.48,0,0,0,5,879,810751.48,1.3661
JA7359629,APPLE VALLEY,CA,23,1294,173165.47,0,0,0,23,1294,173165.47,2.3317
KZ6499581,NORFOLK,VA,27,1785,140373.97,NA,NA,NA,NA,NA,NA,1.296
DW8863484,LIVONIA,MI,22,1407,136464.08,0,0,0,22,1407,136464.08,1.8357
OV7246477,BROOKLYN,NY,23,6702,98045.2,4,6127,33514.34,19,575,64530.86,1.6046
TU4787544,PHOENIX,AZ,13,776,66526.74,0,0,0,13,776,66526.74,1.9885
EY3742126,BEDFORD,TX,75,126922,2467542.28,23,123771,2161031.32,52,3151,306510.96,1.3522
BJ1056719,BEAUMONT,TX,34,2672,237906.46,0,0,0,34,2672,237906.46,1.1096
EJ0828826,INDIANAPOLIS,IN,34,4671,260072.93,NA,NA,NA,NA,NA,NA,1.7501
LH8613588,SAN ANTONIO,TX,37,1932,154107.28,NA,NA,NA,NA,NA,NA,1.9785
YX3996679,FORT WALTON BEACH,FL,45,11234,391306.27,2,8718,48018.78,43,2516,343287.49,1.526
WZ7028500,TACOMA,WA,17,1034,103336.1,0,0,0,17,1034,103336.1,1.3928
BC6453186,FORT WAYNE,IN,10,121,8002.63,0,0,0,10,121,8002.63,1.1093
FA2184915,DALLAS,TX,12,1081,131853.45,0,0,0,12,1081,131853.45,0.9922
JN9410156,NASHVILLE,TN,25,454,47322.03,0,0,0,25,454,47322.03,1.4883
OE6805836,DOWNEY,CA,20,5483,550289.45,0,0,0,20,5483,550289.45,3.0546
LV6197886,MIAMI,FL,21,763,89175.34,0,0,0,21,763,89175.34,1.9765
WC3347520,FORT SMITH,AR,61,8130,158608.74,10,6602,2628.98,51,1528,155979.76,1.2283
ZP1552673,LOS ANGELES,CA,9,161,25501.54,0,0,0,9,161,25501.54,1.0977
XC1567010,CARMEL,IN,43,70122,540761.44,3,68826,408530.6,40,1296,132230.84,1.4697
DH4501301,GENEVA,NY,16,1146,127046.14,0,0,0,16,1146,127046.14,1.2388
SK8787299,EAST STROUDSBURG,PA,10,1952,111286.19,NA,NA,NA,NA,NA,NA,1.4367
OM4554106,WALDORF,MD,3,66,8158.64,0,0,0,3,66,8158.64,0.9611
VR6353006,MIAMI,FL,15,651,52731.16,NA,NA,NA,NA,NA,NA,1.5334
LB1402149,SAN FRANCISCO,CA,9,593,79621.19,0,0,0,9,593,79621.19,1.1795
PF7200868,GLENWOOD SPGS,CO,37,3513,100526.67,NA,NA,NA,NA,NA,NA,1.4129
IZ4488076,CINCINNATI,OH,13,333,25667.34,0,0,0,13,333,25667.34,1.8683
HB2995788,LAKE SUCCESS,NY,21,1123,158292.38,0,0,0,21,1123,158292.38,1.0833
OG9652044,SUN CITY WEST,AZ,25,2262,210015.64,NA,NA,NA,NA,NA,NA,1.2275
JY5976840,BALTIMORE,MD,5,56,5422.88,0,0,0,5,56,5422.88,1.7074
SU6378202,OCEANSIDE,CA,59,16526,267917.55,4,14900,82618.55,55,1626,185299,1.3403
RD6047835,CHARLESTON,SC,3,41,5040.41,0,0,0,3,41,5040.41,1.3266
AU1457601,SAINT LOUIS,MO,22,644,59246.3,0,0,0,22,644,59246.3,1.7815
AC0006082,CORVALLIS,OR,44,3469,101715.34,6,2742,15511.8,38,727,86203.54,1.2554
UH6091876,HOLLYWOOD,FL,23,711,79553.58,0,0,0,23,711,79553.58,2.6935
SR9947943,DENVER,CO,17,310,42223.46,0,0,0,17,310,42223.46,1.2994
AV9276238,KANSAS CITY,MO,17,829,137752.67,0,0,0,17,829,137752.67,1.4051
XT2686586,BURNSVILLE,MN,14,89,20011.84,0,0,0,14,89,20011.84,1.1278
AW1958212,ATLANTA,GA,6,218,34312.55,0,0,0,6,218,34312.55,0.9301
JO2167859,ROCHESTER HILLS,MI,43,1480,187972.35,NA,NA,NA,NA,NA,NA,2.0053
DE8105283,BIRMNGHAM,AL,20,1642,44471.24,NA,NA,NA,NA,NA,NA,1.4072
AV4150897,CARMEL,IN,87,11221,496444.36,10,6784,12468.65,77,4437,483975.71,1.4279
WP5160247,BUFFALO,NY,22,348,52261.2,0,0,0,22,348,52261.2,2.1108
EI2732299,MECHANICSVILLE,VA,29,2509,253328.31,0,0,0,29,2509,253328.31,1.5684
IN2354241,MAYWOOD,IL,16,593,74591.73,0,0,0,16,593,74591.73,2.0953
OU7159904,MADISON,WI,47,764,47977.41,0,0,0,47,764,47977.41,1.4096
FX8816167,NEW YORK,NY,10,203,25831.74,0,0,0,10,203,25831.74,2.9846
NI5360360,ROCHESTER,MN,33,811,83336.4,0,0,0,33,811,83336.4,1.344
EK5539547,CHEVY CHASE,MD,28,1357,214518.55,0,0,0,28,1357,214518.55,1.139
JK0488542,ASHLAND,KY,39,3695,189937.45,3,1804,9820.84,36,1891,180116.61,1.5502
IG5562038,REDDING,CA,14,599,70064.78,0,0,0,14,599,70064.78,1.9422
WG1533361,BERKLEY,MI,79,2311,246960.46,5,480,23631.56,74,1831,223328.9,2.292
YJ4463033,FAJARDO,PR,3,129,10866.63,0,0,0,3,129,10866.63,1.2103
HI8394736,BOSTON,MA,11,380,36238.72,0,0,0,11,380,36238.72,1.8254
AL3974021,WILKESBORO,NC,16,577,70870.93,0,0,0,16,577,70870.93,1.4407
XE7368071,SPOKANE,WA,35,13425,148068.8,3,12836,75888.7,32,589,72180.1,1.3655
SO9873810,HOUSTON,TX,14,155,17814.69,0,0,0,14,155,17814.69,1.6875
CH8750311,SAN ANTONIO,TX,12,1034,120774.43,0,0,0,12,1034,120774.43,1.3034
PY0297281,LEESBURG,FL,27,1506,192123.97,0,0,0,27,1506,192123.97,1.7564
XR7542806,NEW YORK,NY,7,116,10417.34,0,0,0,7,116,10417.34,1.5234
PL1206592,SANTA MONCIA,CA,4,939,23243.65,NA,NA,NA,NA,NA,NA,0.9349
MW7485955,CHICAGO,IL,10,257,37760.69,0,0,0,10,257,37760.69,1.0888
ZZ5265786,CHICAGO,IL,14,441,43979.13,0,0,0,14,441,43979.13,1.5585
TL3981205,WOODBURY,NJ,22,702,88318.64,0,0,0,22,702,88318.64,1.5
RE0698900,FREEHOLD,NJ,15,885,107488.43,0,0,0,15,885,107488.43,1.7779
MY6238252,ATLANTA,GA,17,481,54575.31,0,0,0,17,481,54575.31,1.4242
SH8653363,LOS ANGELES,CA,3,1168,116625.17,0,0,0,3,1168,116625.17,1.0688
MS9479759,HOUSTON,TX,53,46132,1016180.93,0,0,0,53,46132,1016180.93,1.9971
UO8631923,CREST HILL,IL,28,693,75636,0,0,0,28,693,75636,1.7689
XT0470244,PAOLI,PA,21,666,92226.1,0,0,0,21,666,92226.1,1.3567
CQ1468568,RENTON,WA,8,393,63294.3,0,0,0,8,393,63294.3,1.4686
CB8101041,BROOKLYN,NY,22,4261,54154.21,3,3916,23914.98,19,345,30239.23,1.8137
FU3992634,GOSHEN,NY,49,23798,348370.03,3,22051,120135.93,46,1747,228234.1,1.5895
TC0918070,PALM SPRINGS,CA,3,93,12565.38,0,0,0,3,93,12565.38,1.1489
NP9064098,GRAND BLANC,MI,25,6138,494504.89,NA,NA,NA,NA,NA,NA,1.9282
NE9383448,SAN FRANCISCO,CA,16,499,59477.24,0,0,0,16,499,59477.24,1.758
ZD6155533,YUMA,AZ,8,1807,218045.21,0,0,0,8,1807,218045.21,1.4749
WG0850968,DERRY,NH,27,1541,203687.31,0,0,0,27,1541,203687.31,1.3455
PS7949845,PHOENIX,AZ,37,1017,98036.6,0,0,0,37,1017,98036.6,1.4638
LB3735398,DETROIT,MI,13,200,35312.97,0,0,0,13,200,35312.97,1.7337
SW8160217,RICHMOND,VA,46,16173,309392.66,3,14355,88193.29,43,1818,221199.37,1.6094
MF5025584,CHARLOTTESVILLE,VA,21,260,27849.75,0,0,0,21,260,27849.75,1.2886
BJ9952908,ROME,GA,86,5724,249856.78,8,2809,15170.39,78,2915,234686.39,1.6388
ZT7676447,WEST ORANGE,NJ,16,1322,170181.78,0,0,0,16,1322,170181.78,2.0549
OD4267856,WILLMAR,MN,25,318,27332.3,0,0,0,25,318,27332.3,2.1117
YH0122962,KANSAS CITY,MO,24,100,8861.45,0,0,0,24,100,8861.45,1.4451
AI4169958,MONROEVILLE,PA,18,132,14827.66,0,0,0,18,132,14827.66,1.2424
WK6431871,NEW YORK,NY,11,87,10599.28,0,0,0,11,87,10599.28,1.9073
HI8307936,BALTIMORE,MD,17,118,11484.39,0,0,0,17,118,11484.39,2.1452
KQ0022858,NEEDHAM,MA,15,699,81708.19,0,0,0,15,699,81708.19,1.3928
AK3716114,FORT WORTH,TX,6,48,3516.55,0,0,0,6,48,3516.55,3.0043
FN9729478,PHILADELPHIA,PA,24,6590,110114.4,1,5987,32977.17,23,603,77137.23,1.8908
XL7389747,NEW YORK,NY,23,293,30156.33,0,0,0,23,293,30156.33,2.4806
YH3308463,BALTIMORE,MD,13,566,50721.49,0,0,0,13,566,50721.49,1.7263
YA2440976,FAIRWAY,KS,33,857,65933.19,NA,NA,NA,NA,NA,NA,1.5265
CH1641263,TRAVIS AFB,CA,11,68,8711.64,0,0,0,11,68,8711.64,2.0783
CQ7527834,PONTIAC,MI,7,52,5422.12,0,0,0,7,52,5422.12,1.3825
JI0893337,BOSTON,MA,21,469,44170.58,0,0,0,21,469,44170.58,2.4258
XQ8202346,SCOTTSDALE,AZ,24,461,47067.95,0,0,0,24,461,47067.95,1.7266
TM0252931,BEDFORD,TX,47,6369,161470.02,8,5814,82162.72,39,555,79307.3,1.3743
BA5633152,WESLEY CHAPEL,FL,34,2756,191359.82,NA,NA,NA,NA,NA,NA,1.7298
ML9671461,JACKSON,TN,70,8603,375849.3,5,4860,26967.23,65,3743,348882.07,1.6942
QP2520661,NEW HYDE PARK,NY,20,1524,41398.89,NA,NA,NA,NA,NA,NA,1.5156
CL0183109,PALO ALTO,CA,3,27,5134.69,0,0,0,3,27,5134.69,1.3389
UK2915331,HOLMDEL,NJ,19,1011,102165.76,0,0,0,19,1011,102165.76,2.0388
DE6086718,BOSTON,MA,6,132,34620.83,0,0,0,6,132,34620.83,1.6609
PY3195464,NEW HYDE PARK,NY,19,448,40919.55,NA,NA,NA,NA,NA,NA,2.0872
AM3632764,SALT LAKE CITY,UT,11,306,15811.22,NA,NA,NA,NA,NA,NA,1.0318
WM1270196,TERRE HAUTE,IN,23,1749,166299.04,0,0,0,23,1749,166299.04,1.4496
BG3740178,GRAPEVINE,TX,26,1287,121756.53,0,0,0,26,1287,121756.53,1.4192
LX6579974,CHICAGO,IL,10,206,31776.98,NA,NA,NA,NA,NA,NA,1.0557
TB6155191,INDIANAPOLIS,IN,46,2044,150119.19,NA,NA,NA,NA,NA,NA,1.7079
NV9395111,ORLANDO,FL,15,321,27368.03,0,0,0,15,321,27368.03,1.9143
IY3727955,EVERETT,WA,80,3121,151368.31,11,2391,73124.45,69,730,78243.86,1.4011
IH1247039,TUCSON,AZ,17,868,66457.11,0,0,0,17,868,66457.11,1.395
IJ1511018,BATON ROUGE,LA,65,2213,110767.76,NA,NA,NA,NA,NA,NA,1.2589
QI3388591,PORTLAND,OR,16,206,30503.61,0,0,0,16,206,30503.61,1.4424
OG0792436,LOS ANGELES,CA,12,1188,51025.85,0,0,0,12,1188,51025.85,2.1152
IK1519241,CLEVELAND,OH,27,802,76240.04,0,0,0,27,802,76240.04,2.2057
GY6223052,SALT LAKE CITY,UT,3,34,1836.09,0,0,0,3,34,1836.09,1.6071
YI6861627,CARROLLTON,VA,21,1296,85941.25,NA,NA,NA,NA,NA,NA,1.1898
TG4516723,EDWARDSVILLE,IL,13,1071,135143.34,0,0,0,13,1071,135143.34,1.1592
SJ2805648,INDIANAPOLIS,IN,20,437,45858.14,0,0,0,20,437,45858.14,1.782
IT3586327,LOS ANGELES,CA,27,1375,94905.03,NA,NA,NA,NA,NA,NA,1.3197
JO0742488,PITTSBURGH,PA,11,161,10869.53,0,0,0,11,161,10869.53,1.8104
WS5515644,HOUSTON,TX,52,6704,304618.38,2,3951,23737.26,50,2753,280881.12,1.6526
YE9933142,SHERMAN,TX,56,2168,153017.74,NA,NA,NA,NA,NA,NA,1.4537
YJ7491117,BALTIMORE,MD,18,333,38270.82,0,0,0,18,333,38270.82,1.4647
ZX2609783,BROOKLYN,NY,61,40498,1132254.62,12,34030,178243.15,49,6468,954011.47,1.7129
AO9476461,BROOKLYN,NY,4,56,6113.77,0,0,0,4,56,6113.77,1.0551
UZ9678254,NASHVILLE,TN,30,3937,171955.08,0,0,0,30,3937,171955.08,1.2202
ZZ9439704,LANGHORNE,PA,9,747,72218.02,0,0,0,9,747,72218.02,2.3313
JT1527237,BOSTON,MA,19,365,41350.98,0,0,0,19,365,41350.98,1.7626
GV8141535,AURORA,CO,18,410,58788.42,0,0,0,18,410,58788.42,1.5571
CW4104469,IOWA CITY,IA,15,321,29758.26,0,0,0,15,321,29758.26,1.7044
XS5668598,LADY LAKE,FL,23,1969,248770.55,0,0,0,23,1969,248770.55,1.5776
LM1541102,SALEM,OR,21,666,75984.15,0,0,0,21,666,75984.15,1.5668
RD6366101,PATTON,CA,11,455,60166.53,0,0,0,11,455,60166.53,1.3684
MF0128224,BAINBRIDGE ISLAND,WA,7,324,25103.69,0,0,0,7,324,25103.69,1.4761
BB2141821,ENCINO,CA,75,7199,621100.22,9,1373,27608.78,66,5826,593491.44,1.3204
ZR4017270,COLUMBUS,OH,20,815,53540.43,NA,NA,NA,NA,NA,NA,1.7624
ZM8021477,SOUTHBRIDGE,MA,21,1264,125499.84,0,0,0,21,1264,125499.84,1.2
FP5330438,BALTIMORE,MD,17,1252,92885.28,NA,NA,NA,NA,NA,NA,1.6643
DF1745332,YORK,ME,23,939,83932.63,0,0,0,23,939,83932.63,1.2104
MA1356134,EAU CLAIRE,WI,39,891,81724.88,NA,NA,NA,NA,NA,NA,1.4025
VB1591571,PLEASANT HILL,CA,30,2867,165418.42,NA,NA,NA,NA,NA,NA,1.5901
GB6744301,EAST SETAUKET,NY,23,679,63220.93,4,31,174.59,19,648,63046.34,0.9612
TC9059448,GAINESVILLE,FL,16,577,79518.13,0,0,0,16,577,79518.13,1.5982
OJ3343786,DALLAS,TX,10,89,4309.23,0,0,0,10,89,4309.23,2.5163
JV5210633,DANVILLE,PA,6,73,4359.04,0,0,0,6,73,4359.04,1.233
OH3180887,BOLIVAR,MO,26,1283,108547.74,0,0,0,26,1283,108547.74,1.3157
OI7425474,CINCINNATI,OH,15,182,16752.64,0,0,0,15,182,16752.64,1.5437
RE4396880,VICTORVILLE,CA,27,1990,192786.68,NA,NA,NA,NA,NA,NA,2.4707
EN7398360,ST CLOUD,MN,8,1003,96016.09,0,0,0,8,1003,96016.09,1.2235
WM4322146,KENSINGTON,MD,23,603,79492.38,0,0,0,23,603,79492.38,1.5545
ZL5809222,FARMINGTON HILLS,MI,36,31924,407954.98,4,30105,176656.65,32,1819,231298.33,1.9613
HL4810875,PERU,IL,28,1124,129197.43,0,0,0,28,1124,129197.43,1.4254
ME2378339,HINSDALE,IL,52,3001,239016.28,NA,NA,NA,NA,NA,NA,1.5494
GY9363283,HOUSTON,TX,24,1252,199799.1,0,0,0,24,1252,199799.1,2.0021
